rank,name,symbol,market_cap,price,circulating_supply,volume(24h),%1h,%24h,%7d,image_url
100,Axie Infinity,AXS,"$541,538,601",$3.39,"159,706,172 AXS *","$17,252,625",0.12%,0.39%,6.43%,https://s2.coinmarketcap.com/static/img/coins/32x32/6783.png
101,Raydium,RAY,"$519,944,196",$1.78,"290,847,971 RAY *","$46,624,762",-0.04%,0.75%,12.36%,https://s2.coinmarketcap.com/static/img/coins/32x32/8526.png
102,dogwifhat,WIF,"$516,463,948",$0.5170,"998,840,913 WIF *","$161,580,987",-0.56%,1.11%,9.62%,https://s2.coinmarketcap.com/static/img/coins/32x32/28752.png
103,MultiversX,EGLD,"$514,720,903",$18.37,"28,007,861 EGLD *","$31,720,470",0.18%,1.61%,3.88%,https://s2.coinmarketcap.com/static/img/coins/32x32/6892.png
104,Decentraland,MANA,"$513,483,259",$0.2643,"1,942,255,184 MANA *","$40,735,697",-0.28%,0.61%,0.23%,https://s2.coinmarketcap.com/static/img/coins/32x32/1966.png
105,Fartcoin,FARTCOIN,"$511,192,877",$0.5111,"999,998,256 FARTCOIN *","$139,671,622",0.82%,8.82%,58.40%,https://s2.coinmarketcap.com/static/img/coins/32x32/33597.png
106,dYdX,DYDX,"$508,818,170",$0.6680,"761,703,070 DYDX *","$11,340,534",0.14%,-0.39%,9.83%,https://s2.coinmarketcap.com/static/img/coins/32x32/28324.png
107,Zcash,ZEC,"$504,550,269",$31.75,"15,886,821 ZEC","$63,655,773",0.60%,4.14%,-2.89%,https://s2.coinmarketcap.com/static/img/coins/32x32/1437.png
108,TrueUSD,TUSD,"$495,065,035",$0.9990,"495,516,083 TUSD *","$47,351,792",0.00%,-0.01%,-0.02%,https://s2.coinmarketcap.com/static/img/coins/32x32/2563.png
109,Virtuals Protocol,VIRTUAL,"$488,915,270",$0.7527,"649,501,196 VIRTUAL *","$174,669,487",-0.84%,3.14%,1.83%,https://s2.coinmarketcap.com/static/img/coins/32x32/29420.png
110,Ronin,RON,"$487,406,159",$0.7869,"619,389,699 RON *","$4,036,330",0.15%,1.24%,1.27%,https://s2.coinmarketcap.com/static/img/coins/32x32/14101.png
111,Arweave,AR,"$475,677,533",$7.24,"65,652,466 AR *","$53,489,814",-0.41%,0.76%,13.90%,https://s2.coinmarketcap.com/static/img/coins/32x32/5632.png
112,SPX6900,SPX,"$474,549,273",$0.5097,"930,993,090 SPX *","$17,354,193",0.07%,3.50%,29.52%,https://s2.coinmarketcap.com/static/img/coins/32x32/28081.png
113,Starknet,STRK,"$467,900,313",$0.1705,"2,743,505,869 STRK *","$28,164,423",-0.46%,3.19%,-4.21%,https://s2.coinmarketcap.com/static/img/coins/32x32/22691.png
114,Core,CORE,"$451,528,601",$0.4526,"997,461,634 CORE *","$10,708,848",0.71%,1.05%,13.98%,https://s2.coinmarketcap.com/static/img/coins/32x32/23254.png
115,Conflux,CFX,"$451,219,763",$0.08982,"5,023,592,538 CFX","$40,715,012",0.23%,0.47%,8.72%,https://s2.coinmarketcap.com/static/img/coins/32x32/7334.png
